doubletriple_hit,fielded_out,homerun_hit,other,single_hit,single_walk,strike_out
0.47982758,0.44695818,-0.35080308,1.283103,-0.35122117,0.24686213,0.5807431
-0.494008,-0.80571795,0.9288974,0.7211383,0.32002237,-0.39713013,0.83765894
0.6148381,0.039639603,0.41971856,1.1927012,0.02098579,0.09244324,-0.27389073
-0.5403463,-0.87054455,0.8885095,-0.71631634,0.04739248,-0.092298195,0.8466415
0.5737309,0.26243824,0.06650085,1.3871247,-0.35290113,-0.37535918,0.14954925
-0.56014746,-0.76196074,1.043494,0.32870835,-0.030812358,-0.52443284,0.8319371
0.5249286,-0.31483322,0.78397065,1.2205516,-0.048906922,-0.188229,0.017076883
-0.5557861,-0.7764967,0.8011856,-0.7784894,-0.53859067,0.25304765,0.7680404
0.5404996,0.43874687,0.30012247,1.2509668,0.043781374,0.15357243,0.24653436
-0.48884037,-0.8535874,0.95734566,-0.22603256,0.042939823,-0.4121672,0.8935268
0.5462416,0.4743087,-0.6331133,1.2993754,-0.064564325,-0.11805886,0.2850529
-0.5263285,-0.724281,0.8913936,0.66729474,-0.4937326,0.30805084,0.84230334
0.5466715,0.67273957,-0.8180261,1.0274746,-1.0839437,0.28138033,0.48926482
-0.42797393,-0.64891267,0.7924546,0.9685562,0.24196963,0.060460214,0.6416564
0.5522314,0.04045395,0.5250253,1.1794076,0.24726842,0.3083108,-0.16582638
-0.48908862,-0.88271457,0.84196705,-0.68446803,0.0011312532,0.37669244,0.739791
0.4371659,0.036590487,0.6698165,1.0756093,-0.24332733,0.19037618,-0.19625752
-0.32397804,-0.79486746,0.70638967,-0.98946226,-0.2981916,0.2714334,0.6718327
0.52702737,0.17694102,-0.027474323,1.2944067,-0.18896997,0.13314101,0.36108595
-0.5799948,-0.8569045,0.988037,0.360286,-0.18597169,-0.07890915,0.79535156
0.4288967,0.13885209,-0.005087911,1.39137,-0.23113973,0.039287426,0.11142806
-0.46599135,-0.93522793,0.9617392,0.4890704,0.19182289,-0.67039084,0.80026186
0.5706728,0.34458017,-0.106563464,1.4418683,-0.16313899,0.05547252,0.34781477
-0.47051176,-0.7683401,1.0580204,0.3548366,0.2612299,-0.10079164,0.6780284
0.6398616,0.36953333,0.34363514,1.502818,-0.09555006,-0.1736781,0.22632802
-0.49661866,-0.8005247,1.1322032,0.2944121,0.14513695,0.41000283,0.6695068
0.6756236,-0.16887325,0.49536744,0.7649213,-0.18369676,0.053829644,-0.29646176
-0.655593,-0.86890185,0.7189065,-0.89866036,-0.40703538,-0.055377822,0.681046
0.58927214,0.33587417,-0.71686774,1.3347303,0.27344662,0.34630805,-0.2800909
-0.63242555,-0.82748854,0.61392236,0.23392956,0.29536644,-0.27740583,0.93645155
0.64603007,0.16675647,0.27133077,1.4309835,0.19182418,0.049876574,0.23487881
-0.67106175,-0.81457627,0.9940881,-0.37642884,0.05906251,-0.15568466,0.79178727
0.52950925,-0.121002644,0.3172153,1.2663745,0.20926464,0.16229838,-0.28553405
-0.5776377,-0.8732611,0.9267289,-0.77838683,-0.2231882,-0.23476537,0.80141634
0.55561167,0.34504318,-0.54855824,1.268361,0.0594877,-0.034198362,0.20312184
-0.52339655,-0.74551004,1.038435,0.7138572,0.20556603,-0.009789656,0.7886326
0.3701766,0.34965056,-0.25112355,1.4169117,-0.37588474,0.2531482,0.14173914
-0.43957767,-0.79232365,1.0812103,0.51123196,0.011917239,-0.1893513,0.7686606
0.44538605,0.0125016235,0.027722148,1.3911057,0.31261903,0.107298866,0.004315476
-0.53000605,-0.8734064,1.1295115,-0.34002423,0.1673385,0.0075538964,0.75071096
0.6083196,0.1530625,0.13292573,1.3780918,0.13143142,0.044962924,-0.15450598
-0.54693186,-0.7999585,1.1212409,-0.22464369,-0.50864655,-0.091945626,0.8474282
