doubletriple_hit,fielded_out,homerun_hit,other,single_hit,single_walk,strike_out
-0.6263089,-0.2557624,-0.5502474,-1.2090425,0.00052936,0.15912877,0.103023
0.642054,-0.8331802,-0.999367,0.629899,0.34167325,-0.50600904,0.8048345
-0.5942132,0.12681998,-0.10922382,-1.3593487,-0.21451615,-0.100235745,-0.32027665
0.67326874,-0.7638287,-0.593511,0.80952936,0.5133747,-0.12756887,0.8216176
-0.54221374,0.10884163,-0.17056382,-1.3660777,-0.30472016,0.19214343,-0.45902437
0.5266866,-0.9584633,-0.9545516,0.55359286,0.24538518,-0.07982328,0.8460207
-0.47280565,0.43543592,0.1574618,-1.3626264,-0.083550684,0.06546926,0.40758768
0.41170612,-0.78234994,-0.87589896,-0.6902714,0.25263742,-0.012727622,0.8891399
-0.4831258,-0.18398622,-0.25454423,-1.350149,0.2296232,-0.11349714,-0.40493244
0.4464465,-0.8776785,-0.9960334,0.59374785,0.015447966,0.3112061,0.83919775
-0.6122445,0.023386355,-0.59139985,-1.3353957,0.0764577,-0.12842923,-0.17675216
0.6008127,-0.91898537,-1.0557315,0.6825247,-0.7873532,0.020749927,0.6612996
-0.43192616,0.013111405,-0.3149773,-1.3302584,-0.082552694,-0.003974871,0.05554596
0.42999062,-0.88209236,-0.96493685,0.7200339,0.10078911,-0.030647006,0.80327135
-0.53024,0.38273594,-0.440683,-1.2901596,-0.051935967,-0.08765942,-0.11466608
0.44567707,-0.83752406,-0.843659,0.5613813,0.08024479,-0.31761807,0.90444994
-0.49018285,-0.16372931,-0.35082144,-1.3777541,0.32735413,-0.27915567,-0.35758996
0.47263247,-0.91177976,-1.0415261,0.50854754,0.048835907,0.09136915,0.8065927
-0.5904096,0.039473005,-0.0537767,-1.4272791,-0.30601606,0.16355337,0.029415842
0.60353726,-0.9282874,-0.9223923,0.3918719,-0.06689533,-0.115974754,0.9050518
-0.50960296,0.4312011,0.3249316,-1.2914611,0.05257043,0.22796056,0.2412827
0.46397868,-0.84342694,-0.8649533,-0.6096489,0.37320614,0.18086767,0.85678464
-0.5805992,0.5786817,0.08848881,-1.2895124,-0.1348316,0.21601129,0.2118553
0.5892309,-0.7815791,-1.0386525,-0.40387088,0.061775938,-0.28183,0.7410755
-0.61402345,0.6648869,0.34158766,-1.3296237,0.19003539,0.14301187,0.54074615
0.6410639,-0.6628489,-1.082707,-0.5272939,0.078145996,-0.30028725,0.71461046
-0.5664041,0.4986775,0.28183806,-1.2359807,0.18578596,-0.21874489,0.4607545
0.51770467,-0.7093016,-1.0017982,-0.37512136,0.6227288,-0.11179299,0.6795388
-0.5908555,0.2776243,-0.33753347,-1.2646025,0.36525333,-0.34408605,0.109098054
0.5848255,-0.88933915,-0.85691184,0.63045055,0.06846502,-0.44878522,0.7971367
-0.7268567,-0.028138064,-0.4064732,-1.2520514,-0.29988304,-0.5333319,-0.0689244
0.6701497,-0.7379575,-1.0073569,0.5185394,0.41510785,0.44351685,0.5295693
-0.65552294,0.4261729,0.5198195,-1.3270923,-0.89208084,0.29111454,0.57035476
0.574366,-0.7668119,-1.0493532,-0.7648702,0.026672874,0.018421087,0.59979326
-0.5456496,0.4550908,0.42586938,-1.2342199,-0.2294112,0.09997215,0.17079529
0.6306306,-0.7539829,-0.9534334,-0.5942404,-0.28348106,0.24193569,0.7938387
-0.49303982,-0.0021046551,-0.5825944,-1.3847344,0.01770902,-0.43249097,0.11347386
0.55991274,-0.8986698,-0.8675878,0.79508305,0.2829816,-0.66541624,0.6945949
-0.70885324,-0.59690887,-0.72769916,-1.3130447,-0.15809587,-0.20252617,-0.55572134
0.6861644,-0.7158951,-1.0704198,1.0388467,0.058353573,1.1032642,0.5045906
-0.60059124,0.39529198,-0.12283143,-1.3255386,-0.14969052,-0.38681456,-0.26347977
0.4704919,-0.8517791,-1.0190996,-0.021393806,-0.10364594,-0.11906033,0.8276475
-0.54302543,-0.22161943,-0.35283554,-1.333205,0.37761876,-0.30851844,-0.16897525
0.53020763,-0.92819643,-1.0334812,0.6267391,-0.21657322,-0.13390167,0.6831308
-0.6992985,0.3004346,0.43671992,-1.4408325,0.39404505,0.6017486,0.34291464
0.66073257,-0.7035856,-1.1247946,-0.70796174,0.090364724,0.71423775,0.7652184
-0.5112099,-0.0047784615,-0.41849044,-1.3003044,-0.0741504,-0.008713578,-0.2204392
0.6033617,-0.8562542,-1.0693733,0.55586874,0.3477448,0.007303079,0.716643
-0.5732297,-0.00089788286,-0.48370868,-1.2933207,0.30295673,-0.20954123,-0.109314814
0.6106382,-0.81382936,-1.1203034,0.6938872,-0.0116083445,-0.18795425,0.68013453
-0.5797933,0.17140089,0.3089223,-1.5090376,-0.2669027,0.4069582,0.1678416
0.61626023,-0.88770044,-1.107994,-0.32874432,-0.30601805,0.1144498,0.7792496
-0.61516476,0.25884858,0.500943,-1.3831351,0.08617187,-0.07478273,0.097876444
0.52977777,-0.7893516,-0.9330472,-0.56369597,-0.13114108,0.15262616,0.78049535
-0.43340093,0.0029335842,-0.45102957,-1.3409323,0.5932988,-0.08967147,-0.3816148
0.43670455,-0.90867513,-0.8934034,0.6525534,0.26667792,-0.037666067,0.74929506
-0.5784873,0.18699743,-0.33412388,-1.2003832,-0.17066592,-0.20599091,0.28268245
0.62091255,-0.8661995,-1.0294765,0.37653902,-0.0026230891,0.05266952,0.9242923
-0.51218283,0.006013742,-0.23884723,-1.226512,-0.172701,0.14330187,-0.119296364
0.5042196,-0.8251424,-0.9732151,0.5084939,-0.030186797,0.40872356,0.7973623
-0.5947129,0.2585261,-0.49040672,-1.3766308,-0.15462695,0.22589271,-0.09035232
0.46780705,-0.8481051,-0.9059875,0.3625563,-0.14174148,0.44705936,0.7718798
-0.52218384,-0.22708732,-0.30448627,-1.3367049,0.07559387,0.8303448,-0.23294881
0.48199508,-0.96355623,-0.5909362,0.8384446,0.23893912,-0.55182433,0.7977845
-0.57651746,0.031496573,-0.3082219,-1.4088022,-0.39416417,-0.515954,0.02396209
0.59507364,-0.8415091,-0.7204882,0.7694422,-0.22120403,-0.22700898,0.73839337
-0.5622884,0.35465103,-0.5887779,-1.4922961,0.0039932705,0.16332796,0.4011977
0.5670778,-0.8008031,-0.91100246,-0.27838022,0.15022758,0.120604165,0.9352392
-0.6078989,0.57167286,0.1312097,-1.3347176,0.017604392,0.35872886,0.50042194
0.57964253,-0.7250822,-0.93394405,-0.77642506,-0.10125841,0.32735398,0.6577457
-0.5399574,0.010498861,-0.44989914,-1.2982665,0.09310866,-0.10769294,0.0953321
0.5146508,-0.833092,-0.9777367,0.6163052,0.049208034,0.40095264,0.7613752
-0.6912499,0.023667546,0.048979025,-1.2996215,-0.20845008,-0.32406467,-0.063515306
0.6433309,-0.88984805,-0.9618909,0.27542895,-0.069544435,-0.1529598,0.86958224
-0.59081745,0.11234959,-0.2817013,-1.4153616,-0.5150483,-0.20708431,0.1911672
0.5543146,-0.7969969,-1.237809,0.6995841,-0.47055182,0.17123681,0.6389341
-0.5668088,0.40967342,0.6359262,-1.2454385,-0.1084628,-0.48598877,0.07986001
0.6084616,-0.6642215,-1.0303096,-0.7453425,-0.19800083,0.35641626,0.67026633
-0.40750206,0.4414215,0.16021466,-1.3148346,-0.04536582,-0.001363462,0.2441747
0.4369203,-0.7039679,-0.70532787,-0.6825683,-0.088958785,-0.2998897,0.789347
-0.5799308,0.103379585,0.22006367,-1.2702692,0.09328821,-0.7113325,-0.047423113
0.54378235,-0.8831182,-1.1322105,-0.6604593,0.0038307996,-0.20925502,0.90096074
-0.5391576,0.1292536,0.17752033,-1.4180044,-0.06347303,0.2244866,0.26845548
0.5609272,-0.77923405,-1.0510471,-0.39956588,0.12471965,0.10894001,0.7913128
-0.5377073,0.122230425,0.026551768,-1.2469145,-0.3618594,-0.04636355,0.1510492
0.5601412,-0.94655794,-1.100092,-0.13534781,-0.2407426,-0.014252083,0.7614122
-0.6069354,0.62128866,0.19936614,-1.2286607,0.081265986,0.24545632,0.36148
0.60057,-0.6908512,-0.99769044,-0.651662,0.20442183,-0.0731491,0.83565205
-0.5265379,0.43601128,0.52749205,-1.3448384,0.09893243,0.18904093,0.56586605
0.54086614,-0.70970035,-0.966499,-0.835298,0.1726352,-0.117636845,0.78083956
-0.5391916,0.008932322,-0.4695406,-1.1360655,0.047545638,-0.09154715,-0.11136047
0.5201678,-0.8431323,-0.8165273,0.6764264,-0.14820398,0.16829689,0.8591711
-0.5992026,0.073881745,-0.34655952,-1.3021537,0.010905647,0.48496044,-0.0054038046
