doubletriple_hit,fielded_out,homerun_hit,other,single_hit,single_walk,strike_out
-0.333441,0.5977616,-0.49656758,-0.65102696,0.17070489,-0.3178669,-0.05061721
-0.30959168,0.5733239,-0.43246564,-0.7049329,0.12620823,0.21514973,-0.22031917
-0.45860186,0.3712561,-0.47032383,-0.79587096,-0.054352738,0.83411294,-0.47124708
-1.1854764,-0.58738923,-1.1576904,-1.0626016,-1.0282748,1.2144724,-1.2726754
-0.36361545,0.6461612,-0.57954884,-0.64254624,0.22241834,-0.6333298,0.35949558
-0.35397375,0.5937048,-0.55660594,-0.6934832,0.16053174,-0.12205294,0.23005076
-0.33475667,0.56428844,-0.4080616,-0.6825743,0.15430567,0.59882075,0.108653516
-0.89913887,-0.07511081,-0.8257882,-0.8990635,-0.5856848,1.0811386,-0.6849868
-0.5576328,0.53879416,-0.74703,-0.74486446,0.10645043,-1.0193157,0.8366504
-0.53035635,0.45768481,-0.729571,-0.7501505,0.025857493,-0.5428981,0.6969899
-0.47457424,0.4674589,-0.6354972,-0.7830552,0.020940244,0.21452023,0.6547075
-0.68237275,0.16032939,-0.673341,-0.8366964,-0.25473318,1.0634395,0.29289514
